,location,date,total_deaths
744,Australia,2020-04-10,52
745,Australia,2020-04-11,54
746,Australia,2020-04-12,57
747,Australia,2020-04-13,61
748,Australia,2020-04-14,61
749,Australia,2020-04-15,61
750,Australia,2020-04-16,63
751,Australia,2020-04-17,63
752,Australia,2020-04-18,67
753,Australia,2020-04-19,69
754,Australia,2020-04-20,70
755,Australia,2020-04-21,71
756,Australia,2020-04-22,74
757,Australia,2020-04-23,74
758,Australia,2020-04-24,75
759,Australia,2020-04-25,79
760,Australia,2020-04-26,81
761,Australia,2020-04-27,83
762,Australia,2020-04-28,84
763,Australia,2020-04-29,88
764,Austria,2019-12-31,0
765,Austria,2020-01-01,0
766,Austria,2020-01-02,0
767,Austria,2020-01-03,0
768,Austria,2020-01-04,0
769,Austria,2020-01-05,0
770,Austria,2020-01-06,0
771,Austria,2020-01-07,0
772,Austria,2020-01-08,0
773,Austria,2020-01-09,0
774,Austria,2020-01-10,0
775,Austria,2020-01-11,0
776,Austria,2020-01-12,0
777,Austria,2020-01-13,0
778,Austria,2020-01-14,0
779,Austria,2020-01-15,0
780,Austria,2020-01-16,0
781,Austria,2020-01-17,0
782,Austria,2020-01-18,0
783,Austria,2020-01-19,0
784,Austria,2020-01-20,0
785,Austria,2020-01-21,0
786,Austria,2020-01-22,0
787,Austria,2020-01-23,0
788,Austria,2020-01-24,0
789,Austria,2020-01-25,0
790,Austria,2020-01-26,0
791,Austria,2020-01-27,0
792,Austria,2020-01-28,0
793,Austria,2020-01-29,0
794,Austria,2020-01-30,0
795,Austria,2020-01-31,0
796,Austria,2020-02-01,0
797,Austria,2020-02-02,0
798,Austria,2020-02-03,0
799,Austria,2020-02-04,0
800,Austria,2020-02-05,0
801,Austria,2020-02-06,0
802,Austria,2020-02-07,0
803,Austria,2020-02-08,0
804,Austria,2020-02-09,0
805,Austria,2020-02-10,0
806,Austria,2020-02-11,0
807,Austria,2020-02-12,0
808,Austria,2020-02-13,0
809,Austria,2020-02-14,0
810,Austria,2020-02-15,0
811,Austria,2020-02-16,0
812,Austria,2020-02-17,0
813,Austria,2020-02-18,0
814,Austria,2020-02-19,0
815,Austria,2020-02-20,0
816,Austria,2020-02-21,0
817,Austria,2020-02-22,0
818,Austria,2020-02-23,0
819,Austria,2020-02-24,0
820,Austria,2020-02-25,0
821,Austria,2020-02-26,0
822,Austria,2020-02-27,0
823,Austria,2020-02-28,0
824,Austria,2020-02-29,0
825,Austria,2020-03-01,0
826,Austria,2020-03-02,0
